,ID,Unnamed:_0,Game_Name,Match_Name,Num_in_Match,Region,Tournament,Blue_Team_Name,Red_Team_Name,Date,Week,Winner,Blue_kills,Red_kills,Total_kills,Blue_towers,Red_towers,Total_towers,Blue_dragons,Red_dragons,Total_dragons,Blue_barons,Red_barons,Total_barons,Blue_gold,Red_gold,Total_gold,First_blood_team,First_blood_time,First_tower_team,First_tower_time,First_dragon_team,First_dragon_time,First_rift_herald_team,First_rift_herald_time,First_baron_team,First_baron_time,Game_time,Blue_players,Red_players
29,30502022,29,ORDER  vs Evil Geniuses ,ORDER vs EG 0,1,MSI,MSI 2022,ORDER ,Evil Geniuses ,2022-05-14,0,red,2,18,20,0,9,9,0,0,0,0,1,1,34.0,48.4,82.4,red,205,red,870,red,205,red,932,red,1257,1390,"BioPanther,Kevy,Kisee,Puma,Corporal,","Impact,Inspired,jojopyun,Danny,Vulcan,"
30,31502022,30,Team Aze  vs Saigon Buffalo ,Team Aze vs SGB 0,1,MSI,MSI 2022,Team Aze ,Saigon Buffalo ,2022-05-15,0,red,6,25,31,0,9,9,0,0,0,0,1,1,34.7,53.5,88.2,red,266,red,639,red,266,red,536,red,1258,1382,"Lonely,Dimitry,Aloned,5Kid,Straight,","Hasmed,BeanJ,Froggy,Shogun,Taki,"
31,32502022,31,Detonation FocusMe  vs T1 ,DFM vs T1 0,1,MSI,MSI 2022,Detonation FocusMe ,T1 ,2022-05-15,0,red,6,18,24,2,10,12,0,0,0,0,1,1,38.9,50.3,89.19999999999999,blue,279,red,883,blue,279,blue,523,red,1322,1422,"Evi,Steal,Yaharong,Yutapon,Harp,","Zeus,Oner,Faker,Gumayusi,Keria,"
32,33502022,32,Saigon Buffalo  vs Detonation FocusMe ,SGB vs DFM 0,1,MSI,MSI 2022,Saigon Buffalo ,Detonation FocusMe ,2022-05-15,0,blue,30,32,62,7,7,14,3,0,3,0,2,2,70.3,70.5,140.8,blue,197,blue,777,blue,197,blue,600,red,1327,2212,"Hasmed,BeanJ,Froggy,Shogun,Taki,","Evi,Steal,Yaharong,Yutapon,Harp,"
33,34502022,33,T1  vs Team Aze ,T1 vs Team Aze 0,1,MSI,MSI 2022,T1 ,Team Aze ,2022-05-15,0,blue,20,8,28,10,0,10,1,0,1,1,0,1,54.3,35.9,90.2,blue,208,blue,797,red,208,blue,595,blue,1290,1335,"Zeus,Oner,Faker,Gumayusi,Keria,","Lonely,Dimitry,Aloned,5Kid,Straight,"
34,35502022,34,Detonation FocusMe  vs Team Aze ,DFM vs Team Aze 0,1,MSI,MSI 2022,Detonation FocusMe ,Team Aze ,2022-05-15,0,red,19,16,35,7,9,16,2,0,2,0,3,3,70.6,71.3,141.89999999999998,blue,390,blue,719,red,390,blue,570,red,1308,2222,"Evi,Steal,Yaharong,Harp,Yutapon,","Lonely,Dimitry,Aloned,5Kid,Straight,"
35,36502022,35,Saigon Buffalo  vs T1 ,SGB vs T1 0,1,MSI,MSI 2022,Saigon Buffalo ,T1 ,2022-05-15,0,red,5,17,22,1,8,9,0,0,0,0,1,1,34.1,45.8,79.9,red,327,red,858,red,327,red,685,red,1271,1314,"Hasmed,BeanJ,Froggy,Shogun,Taki,","Zeus,Oner,Faker,Gumayusi,Keria,"
36,37502022,36,T1  vs G2 Esports ,T1 vs G2 Esports 0,1,MSI,MSI 2022,T1 ,G2 Esports ,2022-05-20,0,red,8,20,28,8,10,18,3,0,3,0,2,2,69.7,73.6,143.3,blue,120,blue,633,blue,120,blue,539,red,1619,2348,"Zeus,Oner,Faker,Gumayusi,Keria,","Brokenblade,Jankos,Caps,Flakked,Targamas,"
37,38502022,37,Evil Geniuses  vs Royal Never Give Up ,EG vs RNG 0,1,MSI,MSI 2022,Evil Geniuses ,Royal Never Give Up ,2022-05-20,0,red,11,22,33,3,10,13,0,0,0,1,1,2,59.5,69.7,129.2,red,388,red,658,red,388,red,517,blue,1401,2075,"Impact,Inspired,jojopyun,Danny,Vulcan,","Bin,Wei,xiaohu,GALA,Ming,"
38,39502022,38,PSG Talon  vs Saigon Buffalo ,PSG Talon vs SGB 0,1,MSI,MSI 2022,PSG Talon ,Saigon Buffalo ,2022-05-20,0,blue,25,13,38,10,7,17,4,0,4,1,1,2,78.1,72.8,150.89999999999998,blue,307,blue,841,blue,307,blue,556,blue,1315,2447,"Hanabi,Juhan,Bay,Unified,Kaiwing,","Hasmed,BeanJ,Froggy,Shogun,Taki,"
